timestamp	left_x	left_y	right_x	right_y	target_id	tar_x	tar_y
4057250.486	-504.6861572	-266.0025024	-465.9618225	-249.2267456	7	-480	-270
4057251.317	-503.6488037	-266.6939087	-465.54776	-248.1691284	7	-480	-270
4057252.151	-504.454895	-265.7946777	-465.8488159	-247.8701172	7	-480	-270
4057252.986	-503.3278809	-265.7238159	-466.4480286	-248.2617188	7	-480	-270
4057253.817	-506.0313416	-264.1240845	-466.7846375	-248.4307861	7	-480	-270
4057254.651	-502.6186523	-266.0344238	-465.7773438	-248.0061035	7	-480	-270
4057255.486	-505.6530151	-265.711731	-467.8790588	-249.1667481	7	-480	-270
4057256.32	-504.8508301	-264.6963501	-467.5386963	-246.7548828	7	-480	-270
4057257.151	-505.5001221	-265.9517212	-466.6613464	-248.2491455	7	-480	-270
4057257.986	-502.4658814	-264.6905518	-466.0112	-246.0692139	7	-480	-270
4057258.82	-503.5828247	-264.5302124	-467.2298279	-247.7070923	7	-480	-270
4057259.651	-503.9227295	-266.9031372	-467.4148254	-247.5306397	7	-480	-270
4057260.485	-503.0525208	-264.6918945	-466.8110962	-245.7426758	7	-480	-270
4057261.32	-503.1366882	-266.5678711	-466.015564	-246.7324829	7	-480	-270
4057262.151	-501.8140259	-265.9382935	-464.8267212	-247.0430908	7	-480	-270
4057262.985	-500.4561462	-266.5814209	-465.7476502	-246.0612793	7	-480	-270
4057263.82	-502.4544373	-266.2015991	-464.5506592	-247.6777344	7	-480	-270
4057264.651	-503.1596069	-265.3001099	-463.4224854	-245.8299561	7	-480	-270
4057265.485	-500.700531	-268.0315552	-464.0298157	-248.4025879	7	-480	-270
4057266.32	-503.2629089	-266.0045166	-465.5004578	-247.246582	7	-480	-270
4057267.151	-501.1340027	-267.5061646	-462.7634888	-247.2983398	7	-480	-270
4057267.985	-501.8052063	-266.5009155	-466.0646973	-248.0056763	7	-480	-270
4057268.82	-502.8704834	-265.4790039	-468.0617981	-245.255127	7	-480	-270
4057269.651	-503.8789063	-263.8181152	-461.9776611	-248.276001	7	-480	-270
4057270.485	-499.7435913	-268.7801514	-463.1161194	-246.3848877	7	-480	-270
4057271.319	-501.7130127	-268.4474487	-463.31427	-247.2800293	7	-480	-270
4057272.151	-503.3403931	-266.0733643	-465.4217224	-245.8317871	7	-480	-270
4057272.985	-502.3757629	-266.5863037	-464.5520325	-245.6746216	7	-480	-270
4057273.819	-500.5496826	-268.9711304	-461.652832	-248.9207153	7	-480	-270
4057274.651	-503.0390625	-267.15625	-461.9224548	-249.001648	7	-480	-270
4057275.485	-501.6998901	-266.6960449	-466.0699768	-247.257019	7	-480	-270
4057276.319	-502.5202637	-267.8991089	-461.2562256	-247.4351807	7	-480	-270
4057277.151	-504.1959229	-265.3866577	-461.0235291	-249.3380737	7	-480	-270
4057277.985	-504.4080811	-264.5794678	-462.6242676	-248.2946167	7	-480	-270
4057278.819	-504.1191711	-267.1038208	-465.1689148	-248.7062988	7	-480	-270
4057279.65	-503.2217102	-266.2495117	-466.3066406	-246.4331665	7	-480	-270
4057280.485	-504.9697266	-266.5662231	-465.5611572	-247.498291	7	-480	-270
4057281.319	-502.0101929	-269.3251953	-464.9971314	-246.651001	7	-480	-270
4057282.15	-505.0791016	-265.0654297	-465.836792	-245.4268189	7	-480	-270
4057282.985	-503.1992798	-266.1311035	-466.1856079	-246.6396484	7	-480	-270
4057283.819	-501.4880066	-270.3569946	-465.6465454	-248.1547852	7	-480	-270
4057284.653	-506.0274658	-265.5283203	-467.7946472	-249.0455322	7	-480	-270
4057285.485	-504.1179199	-267.1663208	-466.6339417	-247.1765747	7	-480	-270
4057286.319	-505.8753662	-264.9679565	-468.076416	-245.8444214	7	-480	-270
4057287.153	-505.1594849	-266.4437866	-466.8288269	-247.3136597	7	-480	-270
4057287.985	-505.0930176	-267.3816528	-466.634552	-249.3699341	7	-480	-270
4057288.819	-508.0380249	-263.6392822	-470.247467	-246.3604126	7	-480	-270
4057289.654	-503.5535889	-266.0457153	-468.070282	-246.6393433	7	-480	-270
4057290.485	-505.7045898	-267.4702148	-466.6488648	-246.9945679	7	-480	-270
4057291.32	-506.4717712	-267.0030518	-467.6346436	-248.6536255	7	-480	-270
4057292.154	-503.2052307	-266.6132813	-469.1440735	-245.0280762	7	-480	-270
4057292.985	-508.5994873	-267.5723877	-469.7311096	-244.7352905	7	-480	-270
4057293.82	-502.2282105	-266.102478	-469.1526489	-247.532959	7	-480	-270
4057294.654	-502.6039734	-264.2159424	-470.6529236	-247.1256714	7	-480	-270
4057295.485	-501.830719	-266.2584839	-470.2754517	-245.9343872	7	-480	-270
4057296.32	-502.6532898	-264.8966065	-470.4499512	-245.5908814	7	-480	-270
4057297.154	-503.5276184	-264.6539307	-470.5474548	-245.3386231	7	-480	-270
4057297.985	-503.1335144	-265.9047241	-470.9577942	-245.9440918	7	-480	-270
4057298.819	-505.1635132	-264.4061279	-469.6123657	-247.6310425	7	-480	-270
4057299.654	-504.6039429	-264.6712036	-470.4514465	-248.2335815	7	-480	-270
4057300.485	-502.4285584	-262.892334	-467.7644348	-248.2042847	7	-480	-270
4057301.319	-505.9734497	-263.7248535	-469.8141174	-248.1419067	7	-480	-270
4057302.154	-502.9701233	-263.7833252	-468.7113648	-248.420166	7	-480	-270
4057302.985	-502.8775635	-263.00354	-467.8539429	-247.355957	7	-480	-270
4057303.819	-506.0559692	-264.5480957	-468.4756775	-246.6560669	7	-480	-270
