timestamp	left_x	left_y	target_id	tar_x	tar_y
6100021	-479.2999878	30.59997559	4	-480	0
6100022	-482.2999878	27.5	4	-480	0
6100023	-481	29.59997559	4	-480	0
6100024	-480.1000061	30.09997559	4	-480	0
6100025	-481.7999878	29.90002441	4	-480	0
6100026	-479.5	28.59997559	4	-480	0
6100027	-479.6000061	26.79998779	4	-480	0
6100028	-479.2999878	29.09997559	4	-480	0
6100029	-483.3999939	29	4	-480	0
6100030	-479.2999878	29	4	-480	0
6100031	-479.5	29.59997559	4	-480	0
6100032	-478.3999939	30.59997559	4	-480	0
6100033	-478.3999939	31.09997559	4	-480	0
6100034	-479	28.40002441	4	-480	0
6100035	-481.2999878	29.70001221	4	-480	0
6100036	-481.7000122	28.29998779	4	-480	0
6100037	-481.5	30.40002441	4	-480	0
6100038	-481.6000061	28.5	4	-480	0
6100039	-485.7000122	27.20001221	4	-480	0
6100040	-478.7000122	30	4	-480	0
6100041	-479.8999939	28.70001221	4	-480	0
6100042	-480.1000061	26.90002441	4	-480	0
6100043	-477.3999939	34.09997559	4	-480	0
6100044	-481.3999939	29.40002441	4	-480	0
6100045	-478.5	27.29998779	4	-480	0
6100046	-480.2999878	30.40002441	4	-480	0
6100047	-480.7000122	29	4	-480	0
6100048	-479.3999939	31.29998779	4	-480	0
6100049	-482.1000061	28.90002441	4	-480	0
6100050	-480.2999878	31.5	4	-480	0
6100051	-478.5	31.5	4	-480	0
6100052	-480.8999939	29.59997559	4	-480	0
6100053	-482.2999878	27.79998779	4	-480	0
6100054	-481	30	4	-480	0
6100055	-478.7999878	30.40002441	4	-480	0
6100056	-481.3999939	30.79998779	4	-480	0
6100057	-478.6000061	33.79998779	4	-480	0
6100058	-478.7000122	30.59997559	4	-480	0
6100059	-478.8999939	30	4	-480	0
6100060	-479.5	30.29998779	4	-480	0
6100061	-480.2999878	29.5	4	-480	0
6100062	-481	28.09997559	4	-480	0
6100063	-480.5	29.40002441	4	-480	0
6100064	-482.5	30.20001221	4	-480	0
6100065	-482.3999939	30.29998779	4	-480	0
6100066	-479.7999878	29.20001221	4	-480	0
6100067	-481.5	28.70001221	4	-480	0
6100068	-480.3999939	28	4	-480	0
6100069	-481.3999939	28	4	-480	0
6100070	-476.7999878	31.09997559	4	-480	0
6100071	-478.2999878	29.5	4	-480	0
6100072	-479.8999939	32.59997559	4	-480	0
6100073	-480.7000122	29.70001221	4	-480	0
6100074	-480.7999878	29.59997559	4	-480	0
6100075	-480.6000061	28.90002441	4	-480	0
6100076	-478.7000122	28.59997559	4	-480	0
6100077	-481.8999939	26.70001221	4	-480	0
6100078	-482	28.20001221	4	-480	0
6100079	-482.6000061	28.40002441	4	-480	0
6100080	-482.3999939	27.29998779	4	-480	0
6100081	-481.2999878	29.40002441	4	-480	0
6100082	-480	31.09997559	4	-480	0
6100083	-479.5	32.29998779	4	-480	0
6100084	-483.2999878	30.5	4	-480	0
6100085	-480.7000122	29.5	4	-480	0
6100086	-481.2999878	30	4	-480	0
6100087	-477.8999939	31.59997559	4	-480	0
6100088	-477.6000061	31.5	4	-480	0
6100089	-479.7999878	29.70001221	4	-480	0
6100090	-479.1000061	30.40002441	4	-480	0
6100091	-481.6000061	30.20001221	4	-480	0
6100092	-480.2000122	30.70001221	4	-480	0
6100093	-481.1000061	28.5	4	-480	0
6100094	-479.2000122	31	4	-480	0
6100095	-481.7999878	28.29998779	4	-480	0
6100096	-482.2999878	31.5	4	-480	0
6100097	-480.3999939	31.59997559	4	-480	0
6100098	-480.8999939	31	4	-480	0
6100099	-480.2999878	30.79998779	4	-480	0
6100100	-480	29.59997559	4	-480	0
6100101	-481.3999939	29.29998779	4	-480	0
6100102	-479.2999878	29	4	-480	0
6100103	-480.1000061	29.59997559	4	-480	0
6100104	-483.2999878	27.59997559	4	-480	0
6100105	-481.2999878	27.59997559	4	-480	0
6100106	-484.6000061	28.09997559	4	-480	0
6100107	-480.7000122	31.59997559	4	-480	0
6100108	-482.2000122	30	4	-480	0
6100109	-482.7000122	29.20001221	4	-480	0
6100110	-483.7999878	30.20001221	4	-480	0
6100111	-485.3999939	32.5	4	-480	0
6100112	-483.7999878	31.29998779	4	-480	0
6100113	-481.2000122	29.59997559	4	-480	0
6100114	-480.2000122	31.5	4	-480	0
6100115	-482.6000061	29.59997559	4	-480	0
6100116	-483.7000122	28.59997559	4	-480	0
6100117	-483	32.59997559	4	-480	0
6100118	-483.2000122	32.5	4	-480	0
6100119	-482.5	28.79998779	4	-480	0
6100120	-484.5	30.70001221	4	-480	0
6100121	-483.6000061	33.20001221	4	-480	0
6100122	-481.5	29.70001221	4	-480	0
6100123	-482.7000122	30.20001221	4	-480	0
6100124	-483.6000061	29.40002441	4	-480	0
6100125	-481.2999878	29	4	-480	0
6100126	-484.1000061	28.90002441	4	-480	0
6100127	-482.6000061	29.59997559	4	-480	0
6100128	-484.2000122	29.29998779	4	-480	0
6100129	-482.6000061	30.40002441	4	-480	0
6100130	-484.8999939	30.29998779	4	-480	0
6100131	-485.6000061	30.09997559	4	-480	0
6100132	-483.2999878	28.70001221	4	-480	0
6100133	-482	33.20001221	4	-480	0
6100134	-483.2000122	32.09997559	4	-480	0
6100135	-480.7000122	31.90002441	4	-480	0
6100136	-483.2000122	32.70001221	4	-480	0
6100137	-482.2999878	30.90002441	4	-480	0
6100138	-483.7000122	30.20001221	4	-480	0
6100139	-483.8999939	32.70001221	4	-480	0
6100140	-482.5	30.59997559	4	-480	0
6100141	-483.8999939	29	4	-480	0
6100142	-482	30.09997559	4	-480	0
6100143	-487.2999878	30.09997559	4	-480	0
6100144	-486.7000122	31.70001221	4	-480	0
6100145	-485.1000061	30.90002441	4	-480	0
6100146	-488.2000122	29.59997559	4	-480	0
6100147	-489.2999878	28.5	4	-480	0
6100148	-491.2999878	30	4	-480	0
6100149	-490.8999939	25.90002441	4	-480	0
6100150	-490.2000122	25.29998779	4	-480	0
6100151	-490.8999939	26.40002441	4	-480	0
6100152	-495.2999878	26.90002441	4	-480	0
6100153	-490	24.5	4	-480	0
6100154	-494	26.90002441	4	-480	0
6100155	-490.7000122	24.29998779	4	-480	0
6100156	-491.7999878	22.29998779	4	-480	0
6100157	-488.3999939	25.40002441	4	-480	0
6100158	-485.8999939	24.90002441	4	-480	0
6100159	-486.6000061	23.59997559	4	-480	0
6100160	-486.1000061	22.90002441	4	-480	0
6100161	-488.7000122	23.5	4	-480	0
6100162	-485.2999878	21.40002441	4	-480	0
6100163	-486.6000061	24.59997559	4	-480	0
6100164	-485.1000061	21	4	-480	0
6100165	-487.7000122	25.09997559	4	-480	0
6100166	-486.6000061	25.29998779	4	-480	0
6100167	-487.2999878	24.20001221	4	-480	0
6100168	-485.7999878	25.5	4	-480	0
6100169	-486.7999878	25.20001221	4	-480	0
6100170	-489.6000061	24.70001221	4	-480	0
6100171	-487.5	27.29998779	4	-480	0
6100172	-487.2999878	27.20001221	4	-480	0
6100173	-488.8999939	26.40002441	4	-480	0
6100174	-488.7999878	25	4	-480	0
6100175	-488.1000061	28.29998779	4	-480	0
6100176	-486.8999939	27.79998779	4	-480	0
6100177	-488	25.09997559	4	-480	0
6100178	-485.7999878	26.29998779	4	-480	0
6100179	-485.6000061	29.29998779	4	-480	0
6100180	-487.5	29.29998779	4	-480	0
6100181	-486.5	29.5	4	-480	0
6100182	-489.5	26	4	-480	0
6100183	-492.2000122	25.70001221	4	-480	0
6100184	-484	26.09997559	4	-480	0
6100185	-488.5	24.90002441	4	-480	0
6100186	-485.7000122	29.59997559	4	-480	0
6100187	-485.7999878	26.20001221	4	-480	0
6100188	-487.2999878	26	4	-480	0
6100189	-486.8999939	29.79998779	4	-480	0
6100190	-487	27.5	4	-480	0
6100191	-485.7000122	27.90002441	4	-480	0
6100192	-485.5	27.20001221	4	-480	0
6100193	-487.2000122	25.79998779	4	-480	0
6100194	-487.7000122	28.40002441	4	-480	0
6100195	-487.7000122	28.29998779	4	-480	0
6100196	-486.6000061	31.20001221	4	-480	0
6100197	-485.6000061	29.29998779	4	-480	0
6100198	-487.2000122	28	4	-480	0
6100199	-487	29.29998779	4	-480	0
6100200	-483.7999878	30.29998779	4	-480	0
6100201	-488.3999939	28.40002441	4	-480	0
6100202	-487.2000122	29.90002441	4	-480	0
6100203	-485	31.09997559	4	-480	0
6100204	-488.7000122	27.70001221	4	-480	0
6100205	-484.3999939	31.79998779	4	-480	0
6100206	-482.5	29.5	4	-480	0
6100207	-487.8999939	29.09997559	4	-480	0
6100208	-489.2000122	26.59997559	4	-480	0
6100209	-489.7000122	26.40002441	4	-480	0
6100210	-487.2999878	30.09997559	4	-480	0
6100211	-485.8999939	29.40002441	4	-480	0
6100212	-486.5	28.59997559	4	-480	0
6100213	-488.2000122	27.5	4	-480	0
6100214	-487.7000122	26.59997559	4	-480	0
6100215	-484.6000061	28.29998779	4	-480	0
6100216	-486.3999939	26.90002441	4	-480	0
6100217	-485	29.5	4	-480	0
6100218	-486.3999939	27.79998779	4	-480	0
6100219	-486.7000122	27.90002441	4	-480	0
6100220	-486.7999878	30.79998779	4	-480	0
6100221	-485.5	29.29998779	4	-480	0
6100222	-487.7000122	27.40002441	4	-480	0
6100223	-487.7000122	28.59997559	4	-480	0
6100224	-487.2000122	28.09997559	4	-480	0
6100225	-491.2000122	27.70001221	4	-480	0
6100226	-489.5	29.09997559	4	-480	0
6100227	-486.2999878	28.20001221	4	-480	0
6100228	-487.5	30.40002441	4	-480	0
6100229	-486.2999878	29.59997559	4	-480	0
6100230	-488	27.90002441	4	-480	0
6100231	-488.2000122	30.70001221	4	-480	0
6100232	-487.2999878	27.70001221	4	-480	0
6100233	-486.5	25.90002441	4	-480	0
6100234	-485.8999939	29.79998779	4	-480	0
6100235	-488.3999939	26.90002441	4	-480	0
6100236	-489.2999878	26.90002441	4	-480	0
6100237	-488.1000061	27.90002441	4	-480	0
6100238	-488.8999939	29.29998779	4	-480	0
6100239	-492	27.20001221	4	-480	0
6100240	-488.7000122	30.59997559	4	-480	0
6100241	-486.6000061	31.59997559	4	-480	0
6100242	-483.8999939	30.79998779	4	-480	0
6100243	-488.1000061	27.40002441	4	-480	0
6100244	-488.7000122	23.5	4	-480	0
6100245	-488.6000061	25.5	4	-480	0
6100246	-487.2000122	29.5	4	-480	0
6100247	-488	28.5	4	-480	0
6100248	-489.1000061	26.20001221	4	-480	0
6100249	-488.7000122	27.29998779	4	-480	0
6100250	-490.8999939	28.5	4	-480	0
6100251	-487.7999878	28.59997559	4	-480	0
6100252	-488.5	27.59997559	4	-480	0
6100253	-487.8999939	29.20001221	4	-480	0
6100254	-486	28.5	4	-480	0
6100255	-488.5	30.40002441	4	-480	0
6100256	-488.7999878	29.20001221	4	-480	0
6100257	-488.6000061	26.40002441	4	-480	0
6100258	-488.1000061	29.90002441	4	-480	0
6100259	-486	25.79998779	4	-480	0
6100260	-487.7999878	26.20001221	4	-480	0
6100261	-487.5	31	4	-480	0
6100262	-486.3999939	27.29998779	4	-480	0
6100263	-485.8999939	26.09997559	4	-480	0
6100264	-487.8999939	26.59997559	4	-480	0
6100265	-488.3999939	29.5	4	-480	0
6100266	-487.5	24.20001221	4	-480	0
6100267	-485.1000061	26.90002441	4	-480	0
6100268	-488.1000061	26	4	-480	0
6100269	-485.6000061	26.90002441	4	-480	0
6100270	-483.6000061	28.70001221	4	-480	0
6100271	-487.8999939	28.70001221	4	-480	0
6100272	-489.3999939	26.20001221	4	-480	0
6100273	-485.7000122	28.79998779	4	-480	0
6100274	-487.3999939	27.59997559	4	-480	0
6100275	-486.7000122	27.5	4	-480	0
6100276	-483.7999878	29	4	-480	0
6100277	-485.8999939	27	4	-480	0
6100278	-485.2999878	26.40002441	4	-480	0
6100279	-485	27.5	4	-480	0
6100280	-486.1000061	27.59997559	4	-480	0
6100281	-479.2999878	30.29998779	4	-480	0
6100282	-485.7999878	28.5	4	-480	0
6100283	-483.6000061	26.70001221	4	-480	0
6100284	-484.7000122	27.20001221	4	-480	0
6100285	-487.7000122	28.09997559	4	-480	0
6100286	-486.3999939	26.70001221	4	-480	0
6100287	-487.3999939	29.90002441	4	-480	0
6100288	-488.1000061	24.70001221	4	-480	0
6100289	-488.2000122	27.70001221	4	-480	0
6100290	-488.1000061	30.09997559	4	-480	0
6100291	-488.7999878	29.20001221	4	-480	0
6100292	-487.2999878	28.70001221	4	-480	0
6100293	-485.3999939	27.40002441	4	-480	0
6100294	-487.8999939	28.5	4	-480	0
